glottocode	genus	confidence
fioo1234		
bend1256		
bekw1241		
nucl1801		
bete1267		
bete1262		
oban1244		
boky1238		
bukp1239		
aleg1238		
uban1243		
ukpe1247		
buma1244		
putu1241		
bish1246		
buru1299		
busu1244		
ekoi1237		
ekoi1236		
ejag1240		
bako1254		
ndee1247		
efut1242		
nden1250		
nort3374		
aban1245		
aban1242		
nkem1242	Ekoid-Mbe	initial
nnam1239		
ekaj1238		
nnam1238		
ejag1239	Ekoid-Mbe	initial
ndoe1238		
mbee1249		
mamf1238		
kend1255		
deny1238		
kend1252		
keny1279	Mamfe	initial
narr1281		
bant1295		
b10b1234		
myen1241	Bantu	initial
tsog1242		
nort3213		
himb1234		
pinj1243		
simb1254		
kand1300		
sout3191		
bubi1250		
eviy1235		
tsog1243	Bantu	initial
bafi1244		
nucl1740		
dimb1238		
lefa1243		
bafi1243	Bantu	initial
lefa1242		
tibe1274		
basa1292		
basa1283		
abob1234		
bank1256	Bantu	initial
baro1252		
basa1289		
bako1249		
basa1290		
basa1284	Bantu	initial
hiju1238		
yaun1239		
bulu1251	Bantu	initial
eton1253		
ewon1241		
bebe1248		
bebi1242		
ewon1239	Bantu	initial
fang1246		
grea1288		
kota1281		
kota1274		
maho1248		
ndas1239		
ndas1240		
ndas1238		
wumb1242		
osam1235		
sigh1238		
kele1262		
mwes1234		
nucl1803		
akel1234		
kele1257		
ngom1270		
tomb1246		
mban1268		
sake1249		
ndam1254		
sake1247		
lund1274		
bonk1243		
leko1248		
ngoe1239		
bafa1251		
bafa1252		
bafa1247		
orok1266	Bantu	initial
kpwe1234		
mokp1239	Bantu	initial
wumb1241		
mane1268		
bass1260		
cent2284		
akoo1248		
baka1273		
mboc1235		
nkon1247		
maka1327		
kako1242		
kwak1266		
maka1323		
bomw1238		
mpoi1234		
bekw1242		
mpie1239		
mpie1238		
ukhw1241		
mpon1254		
njem1234		
koon1245		
njye1238		
west2967		
maka1324		
nort3375		
byep1241		
maka1304	Bantu	initial
sout3352		
kolc1235		
soca1235		
mvum1239		
kwas1245		
gyel1242		
kwas1243	Bantu	initial
shiw1234		
yamb1255		
pomo1271		
pomo1276		
sawa1251		
beng1289		
bata1285		
beng1282	Bantu	initial
uncl1530		
mole1238		
yasa1241		
ngum1255		
yasa1242		
dual1244		
dual1245		
dual1243	Bantu	initial
mali1280		
kole1239		
bako1250		
isuf1235		
olib1234		
seki1238		
cent2260		
grea1287		
east2747		
luya1241		
mbow1246		
west2833		
mash1271		
mash1267		
mbuk1240		
sima1262		
nyen1257		
sima1258		
luba1253		
enya1249		
luba1254		
kaon1242		
kaon1241		
luba1250	Bantu	initial
sang1331		
luba1255		
bang1371		
bang1350		
hemb1242	Bantu	initial
luba1249	Bantu	initial
kany1247	Bantu	initial
song1303	Bantu	initial
zula1235		
mbag1239		
binj1249		
luna1244		
lwal1238		
nkoy1244		
njil1234		
nort3257		
mbal1259		
holu1246		
holu1245		
phee1234		
kwes1244		
mban1264		
phen1239		
mbal1260		
mbal1257		
sond1250		
mbun1247		
bolo1261		
kimb1241		
mpin1234		
nson1238		
sout3233		
chok1246		
chok1244		
chok1247		
chok1245		
luva1239	Bantu	initial
ngan1306		
luch1239	Bantu	initial
mbwe1239		
luim1238		
mbun1249		
mbwe1238		
nkan1238		
nyem1238		
ruun1239		
lund1275		
lund1266	Bantu	initial
ruun1240		
kete1252	Bantu	initial
ruun1238		
sala1268		
kune1234		
cimb1239		
here1252		
here1253	Bantu	initial
zemb1238		
kuva1244		
kwan1289		
ndon1253		
kuan1247		
kwam1257		
kwam1251		
ndon1254	Bantu	initial
mbal1255	Bantu	initial
unun9923		
ngan1300		
ngen1257		
nyan1320		
nkhu1238		
nyan1305		
kwan1288		
diri1252		
kwan1273	Bantu	initial
umbu1257	Bantu	initial
unun9922		
ndom1244		
nort3376		
inne1246		
kele1261		
kele1263		
kele1265		
kele1255		
lomb1260		
mbol1247	Bantu	initial
sopo1239		
poke1238		
sole1244		
baso1234		
moin1241		
sode1235		
lebo1246		
leng1258		
nyal1255		
belu1239		
budu1266		
budu1250	Bantu	initial
ndak1244		
mbod1238		
ndak1241		
vanu1247		
nyal1250		
vanu1242		
mbes1238		
unun9927		
bafo1235		
vieu1234		
mong1351		
boli1263		
boli1255	Bantu	initial
ntom1248	Bantu	initial
lomo1242		
mong1338	Bantu	initial
ngan1302		
seng1278	Bantu	initial
nkut1239		
bush1251		
bush1247	Bantu	initial
lele1265		
wong1247		
nkut1240		
deng1250		
song1311		
nkut1238		
song1305		
ombo1238		
tete1254		
hamb1245		
kusu1252		
tete1250	Bantu	initial
yela1238		
rive1266		
koyo1244		
akwa1248	Bantu	initial
koyo1245		
koyo1242		
mbos1242	Bantu	initial
mbok1243		
liko1251		
bwam1249		
mbat1248		
ngun1270		
pand1264		
yaka1272	Bantu	initial
dibo1245	Bantu	initial
impf1234		
bomi1238		
bonj1234		
mika1256		
moki1244		
bong1284		
ngan1304		
ngir1248		
luse1252		
ngir1250		
bamw1239		
bamw1238		
dzan1238		
ndol1238		
bomb1265		
bomb1261		
bomb1262		
ngom1276		
abab1240		
bali1286		
bali1274		
beek1238		
oldb1234		
komo1265		
amba1263		
bera1259	Bantu	initial
bila1258		
bhel1238		
bila1259		
bila1255	Bantu	initial
kaik1247		
kang1285		
komo1260		
midd1348		
late1250		
kang1286		
ngel1238	Bantu	initial
paga1238		
bwaa1238		
pagi1243		
lika1243		
ngbe1239		
extr1247		
kari1306		
ngbe1238		
nyan1303		
ngen1255		
homa1239		
ngbi1238		
unun9928		
bodo1272		
bogu1241		
ngom1274		
lige1238		
ngom1268	Bantu	initial
ngir1251		
bwel1238	Bantu	initial
mote1237		
bolo1263		
budj1234		
budj1235		
baba1263		
budz1238		
egbu1235		
temb1272		
ngir1252		
ngir1253		
loba1240		
boko1263		
loba1239		
zamb1245		
ngir1254		
boba1248		
boba1249		
balo1261		
boba1250		
bang1354	Bantu	initial
ling1269		
bang1353		
ling1263	Bantu	initial
nort3345		
bolo1262		
likw1240		
liku1242		
likw1239		
moic1236		
mpam1239		
libi1251		
libi1242		
maba1270		
ndob1238		
libi1252		
libi1244		
liki1240		
lito1235		
west2968		
ngul1247		
nzad1235		
lwer1234		
ding1244		
ding1239	Bantu	initial
loan1238		
klce1234		
kiko1235		
hung1281		
hung1278		
samb1309		
nucl1804		
kiko1234		
beem1239	Bantu	initial
kamb1321		
kamb1322		
kaam1238		
kuny1238		
kila1239		
nort3267		
doon1238		
laar1238		
suun1239		
sout3249		
sout3353		
east2782		
west2874		
sans1272		
yomb1244	Bantu	initial
yaka1278		
suku1259	Bantu	initial
yaka1269	Bantu	initial
mpuo1241		
nson1239		
ngon1267		
song1299		
kwil1238		
kasa1251		
boma1250		
ibal1241		
kwak1270		
boma1246		
saka1301		
boma1248		
boma1251		
kemp1234		
tien1242		
saka1287		
mfin1238		
moye1234		
inte1264		
teke1274	Bantu	initial
teke1276		
teke1280	Bantu	initial
west2969		
nort3377		
mber1262		
teke1275		
tsit1235		
tchi1245		
nzeb1234		
laal1244		
teke1277		
yaka1274		
njeb1244		
vili1239		
teke1281		
ngun1278		
ngun1272		
teke1278		
wuum1239		
yans1239	Bantu	initial
lwel1234		
nzad1234		
yeyi1239	Bantu	initial
east2731		
bota1239		
lenj1247		
cent2279		
domb1246		
kafu1239		
